file,duration,n_samples,rms,peak,dynamic_range,zero_crossing_rate,filename
../data/Buoy210_100300_100399/718586EF.210,21.333333333333332,4096000,126.51892130910203,193.0,11.559742658184213,0.0,718586EF.210
../data/Buoy210_100300_100399/71858737.210,21.333333333333332,4096000,125.99490141322745,175.0,7.244489128103595,0.0,71858737.210
../data/Buoy210_100300_100399/718587A3.210,21.333333333333332,4096000,125.81193343626312,438.0,252.82948221008397,0.00024267578125,718587A3.210
../data/Buoy210_100300_100399/718587C7.210,21.333333333333332,4096000,125.75951691221678,384.0,45.66602457363896,7.32421875e-06,718587C7.210
../data/Buoy210_100300_100399/718587E0.210,21.333333333333332,4096000,126.19583799919992,192.0,11.01814937760006,0.0,718587E0.210
../data/Buoy210_100300_100399/718587E4.210,21.333333333333332,4096000,125.63133175119225,185.0,11.718609820535129,0.0,718587E4.210
../data/Buoy210_100300_100399/718587EC.210,21.333333333333332,4096000,125.85886978968279,178.0,9.445375038495406,0.0,718587EC.210
../data/Buoy210_100300_100399/718587ED.210,21.333333333333332,4096000,125.78278797099331,173.0,7.614272133943501,0.0,718587ED.210
../data/Buoy210_100300_100399/718587EF.210,21.333333333333332,4096000,126.87344977404989,194.0,12.500877964958633,0.0,718587EF.210
../data/Buoy210_100300_100399/718587F5.210,21.333333333333332,4096000,125.66871363497727,187.0,8.2901822020972,0.0,718587F5.210
../data/Buoy210_100300_100399/718587FA.210,21.333333333333332,4096000,125.79724603934692,180.0,7.9588001734335165,0.0,718587FA.210
../data/Buoy210_100300_100399/718587FB.210,21.333333333333332,4096000,125.71644841992759,185.0,9.63683786783539,0.0,718587FB.210
../data/Buoy210_100300_100399/71858803.210,21.333333333333332,4096000,126.00160076565619,179.0,8.155099819305171,0.0,71858803.210
../data/Buoy210_100300_100399/71858815.210,21.333333333333332,4096000,125.84776368401458,178.0,8.106439245885213,0.0,71858815.210
../data/Buoy210_100300_100399/71858818.210,21.333333333333332,4096000,125.81184539870223,172.0,8.45230180528555,0.0,71858818.210
../data/Buoy210_100300_100399/7185881B.210,21.333333333333332,4096000,125.72488774089615,181.0,9.88501162611476,0.0,7185881B.210
../data/Buoy210_100300_100399/7185881C.210,21.333333333333332,4096000,125.44930360469262,204.0,9.290642548224682,0.0,7185881C.210
../data/Buoy210_100300_100399/7185881F.210,21.333333333333332,4096000,126.30456334173863,194.0,11.435967725896312,0.0,7185881F.210
../data/Buoy210_100300_100399/71858823.210,21.333333333333332,4096000,125.47316790750959,168.0,6.664293580701681,0.0,71858823.210
../data/Buoy210_100300_100399/7185882A.210,21.333333333333332,4096000,125.99771964198585,201.0,9.161960348116551,0.0,7185882A.210
