file,n_whistles,mean_whistle_duration,total_whistle_duration,whistle_coverage_percent,recording_duration,filename
../data/Buoy210_100300_100399/718586EF.210,72,0.2594074074074075,18.677333333333337,87.55000000000001,21.333333333333332,718586EF.210
../data/Buoy210_100300_100399/71858737.210,76,0.17659649122807003,13.421333333333322,62.91249999999995,21.333333333333332,71858737.210
../data/Buoy210_100300_100399/718587A3.210,1,0.17333333333333334,0.17333333333333334,0.8125,21.333333333333332,718587A3.210
../data/Buoy210_100300_100399/718587C7.210,28,0.1361904761904764,3.813333333333339,17.87500000000003,21.333333333333332,718587C7.210
../data/Buoy210_100300_100399/718587E0.210,53,0.23265408805031448,12.330666666666668,57.800000000000004,21.333333333333332,718587E0.210
../data/Buoy210_100300_100399/718587E4.210,66,0.15696969696969706,10.360000000000007,48.56250000000003,21.333333333333332,718587E4.210
../data/Buoy210_100300_100399/718587EC.210,41,0.1501138211382113,6.154666666666664,28.849999999999987,21.333333333333332,718587EC.210
../data/Buoy210_100300_100399/718587ED.210,60,0.15759999999999985,9.45599999999999,44.32499999999996,21.333333333333332,718587ED.210
../data/Buoy210_100300_100399/718587EF.210,74,0.22093693693693695,16.349333333333334,76.6375,21.333333333333332,718587EF.210
../data/Buoy210_100300_100399/718587F5.210,64,0.16099999999999987,10.303999999999991,48.29999999999996,21.333333333333332,718587F5.210
../data/Buoy210_100300_100399/718587FA.210,72,0.18288888888888888,13.168,61.724999999999994,21.333333333333332,718587FA.210
../data/Buoy210_100300_100399/718587FB.210,72,0.1832962962962961,13.197333333333319,61.86249999999993,21.333333333333332,718587FB.210
../data/Buoy210_100300_100399/71858803.210,78,0.19883760683760693,15.509333333333341,72.70000000000005,21.333333333333332,71858803.210
../data/Buoy210_100300_100399/71858815.210,70,0.1763809523809523,12.34666666666666,57.87499999999998,21.333333333333332,71858815.210
../data/Buoy210_100300_100399/71858818.210,80,0.1721000000000001,13.768000000000008,64.53750000000004,21.333333333333332,71858818.210
../data/Buoy210_100300_100399/7185881B.210,85,0.16564705882352948,14.080000000000005,66.00000000000003,21.333333333333332,7185881B.210
../data/Buoy210_100300_100399/7185881C.210,69,0.18446376811594206,12.728000000000002,59.66250000000001,21.333333333333332,7185881C.210
../data/Buoy210_100300_100399/7185881F.210,46,0.42852173913043484,19.712000000000003,92.40000000000002,21.333333333333332,7185881F.210
../data/Buoy210_100300_100399/71858823.210,79,0.2144472573839662,16.94133333333333,79.41249999999998,21.333333333333332,71858823.210
../data/Buoy210_100300_100399/7185882A.210,60,0.29875555555555544,17.925333333333327,84.02499999999998,21.333333333333332,7185882A.210
